Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Latitude,Longitude
74,Albania,Wheat,2007,35496,1485.0,1006.57,16.67,41.153332,20.168331
75,Albania,Maize,2008,50000,1485.0,1069.54,16.71,41.153332,20.168331
76,Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,41.153332,20.168331
77,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,41.153332,20.168331
78,Albania,Wheat,2008,40168,1485.0,1069.54,16.71,41.153332,20.168331
79,Albania,Maize,2009,55693,1485.0,1132.5,16.73,41.153332,20.168331
80,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,41.153332,20.168331
81,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,41.153332,20.168331
82,Albania,Wheat,2009,40229,1485.0,1132.5,16.73,41.153332,20.168331
83,Albania,Maize,2010,66790,1485.0,1311.17,16.52,41.153332,20.168331
84,Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,41.153332,20.168331
85,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,41.153332,20.168331
86,Albania,Wheat,2010,39905,1485.0,1311.17,16.52,41.153332,20.168331
87,Albania,Maize,2011,59869,1485.0,1302.63,16.45,41.153332,20.168331
88,Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,41.153332,20.168331
89,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,41.153332,20.168331
90,Albania,Wheat,2011,42301,1485.0,1302.63,16.45,41.153332,20.168331
91,Albania,Maize,2012,67290,1485.0,766.25,16.7,41.153332,20.168331
92,Albania,Potatoes,2012,250538,1485.0,766.25,16.7,41.153332,20.168331
93,Albania,Soybeans,2012,13333,1485.0,766.25,16.7,41.153332,20.168331
94,Albania,Wheat,2012,41096,1485.0,766.25,16.7,41.153332,20.168331
95,Albania,Maize,2013,69533,1485.0,982.32,17.41,41.153332,20.168331
96,Albania,Potatoes,2013,260110,1485.0,982.32,17.41,41.153332,20.168331
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41,41.153332,20.168331
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41,41.153332,20.168331
99,Algeria,Maize,1990,16500,89.0,1828.92,17.48,28.033886,1.659626
100,Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,28.033886,1.659626
101,Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48,28.033886,1.659626
102,Algeria,Sorghum,1990,16571,89.0,1828.92,17.48,28.033886,1.659626
103,Algeria,Wheat,1990,6315,89.0,1828.92,17.48,28.033886,1.659626
104,Algeria,Maize,1991,19231,89.0,2461.8,16.26,28.033886,1.659626
105,Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,28.033886,1.659626
106,Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26,28.033886,1.659626
107,Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,28.033886,1.659626
108,Algeria,Wheat,1991,10809,89.0,2461.8,16.26,28.033886,1.659626
109,Algeria,Maize,1992,22828,89.0,1215.47,16.27,28.033886,1.659626
110,Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,28.033886,1.659626
111,Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27,28.033886,1.659626
112,Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,28.033886,1.659626
113,Algeria,Wheat,1992,9939,89.0,1215.47,16.27,28.033886,1.659626
114,Algeria,Maize,1993,12500,89.0,1021.89,17.0,28.033886,1.659626
115,Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,28.033886,1.659626
116,Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0,28.033886,1.659626
117,Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,28.033886,1.659626
118,Algeria,Wheat,1993,8097,89.0,1021.89,17.0,28.033886,1.659626
119,Algeria,Maize,1994,4512,89.0,1255.02,17.88,28.033886,1.659626
120,Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,28.033886,1.659626
121,Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88,28.033886,1.659626
122,Algeria,Wheat,1994,7999,89.0,1255.02,17.88,28.033886,1.659626
123,Algeria,Maize,1995,16115,89.0,2697.09,17.36,28.033886,1.659626
124,Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,28.033886,1.659626
125,Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36,28.033886,1.659626
126,Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,28.033886,1.659626
127,Algeria,Wheat,1995,8924,89.0,2697.09,17.36,28.033886,1.659626
128,Algeria,Maize,1996,17154,89.0,479.77,16.76,28.033886,1.659626
129,Algeria,Potatoes,1996,134629,89.0,479.77,16.76,28.033886,1.659626
130,Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76,28.033886,1.659626
131,Algeria,Sorghum,1996,14750,89.0,479.77,16.76,28.033886,1.659626
132,Algeria,Wheat,1996,13090,89.0,479.77,16.76,28.033886,1.659626
133,Algeria,Maize,1997,21417,89.0,401.22,17.84,28.033886,1.659626
134,Algeria,Potatoes,1997,141042,89.0,401.22,17.84,28.033886,1.659626
135,Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84,28.033886,1.659626
136,Algeria,Sorghum,1997,40000,89.0,401.22,17.84,28.033886,1.659626
137,Algeria,Wheat,1997,8016,89.0,401.22,17.84,28.033886,1.659626
138,Algeria,Maize,1998,17222,89.0,322.84,17.14,28.033886,1.659626
139,Algeria,Potatoes,1998,160256,89.0,322.84,17.14,28.033886,1.659626
140,Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14,28.033886,1.659626
141,Algeria,Sorghum,1998,24500,89.0,322.84,17.14,28.033886,1.659626
142,Algeria,Wheat,1998,8847,89.0,322.84,17.14,28.033886,1.659626
143,Algeria,Maize,1999,22375,89.0,654.45,17.97,28.033886,1.659626
144,Algeria,Potatoes,1999,153532,89.0,654.45,17.97,28.033886,1.659626
145,Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97,28.033886,1.659626
146,Algeria,Sorghum,1999,27000,89.0,654.45,17.97,28.033886,1.659626
147,Algeria,Wheat,1999,10711,89.0,654.45,17.97,28.033886,1.659626
148,Algeria,Maize,2000,36186,89.0,603.67,17.9,28.033886,1.659626
149,Algeria,Potatoes,2000,166143,89.0,603.67,17.9,28.033886,1.659626
150,Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9,28.033886,1.659626
151,Algeria,Sorghum,2000,69500,89.0,603.67,17.9,28.033886,1.659626
152,Algeria,Wheat,2000,9194,89.0,603.67,17.9,28.033886,1.659626
153,Algeria,Maize,2001,27175,89.0,710.11,18.13,28.033886,1.659626
154,Algeria,Potatoes,2001,147018,89.0,710.11,18.13,28.033886,1.659626
155,Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13,28.033886,1.659626
156,Algeria,Sorghum,2001,27750,89.0,710.11,18.13,28.033886,1.659626
157,Algeria,Wheat,2001,11104,89.0,710.11,18.13,28.033886,1.659626
158,Algeria,Maize,2002,33480,89.0,816.55,17.85,28.033886,1.659626
159,Algeria,Potatoes,2002,183774,89.0,816.55,17.85,28.033886,1.659626
160,Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85,28.033886,1.659626
161,Algeria,Sorghum,2002,33900,89.0,816.55,17.85,28.033886,1.659626
162,Algeria,Wheat,2002,10739,89.0,816.55,17.85,28.033886,1.659626
163,Algeria,Maize,2004,31729,89.0,3747.86,17.38,28.033886,1.659626
164,Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,28.033886,1.659626
165,Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38,28.033886,1.659626
166,Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,28.033886,1.659626
167,Algeria,Wheat,2004,13582,89.0,3747.86,17.38,28.033886,1.659626
168,Algeria,Maize,2005,33864,89.0,3662.87,17.19,28.033886,1.659626
169,Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,28.033886,1.659626
170,Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19,28.033886,1.659626
171,Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,28.033886,1.659626
172,Algeria,Wheat,2005,15057,89.0,3662.87,17.19,28.033886,1.659626
173,Algeria,Maize,2006,65668,89.0,4110.72,18.13,28.033886,1.659626
174,Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,28.033886,1.659626
175,Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13,28.033886,1.659626
176,Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,28.033886,1.659626
177,Algeria,Wheat,2006,15068,89.0,4110.72,18.13,28.033886,1.659626
178,Algeria,Maize,2007,85625,89.0,5390.79,17.42,28.033886,1.659626
179,Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,28.033886,1.659626
180,Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42,28.033886,1.659626
181,Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,28.033886,1.659626
182,Algeria,Wheat,2007,12742,89.0,5390.79,17.42,28.033886,1.659626
183,Algeria,Maize,2008,44714,89.0,11556.12,17.55,28.033886,1.659626
184,Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,28.033886,1.659626
185,Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55,28.033886,1.659626
186,Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,28.033886,1.659626
187,Algeria,Wheat,2008,11038,89.0,11556.12,17.55,28.033886,1.659626
188,Algeria,Maize,2009,30914,89.0,3867.99,17.78,28.033886,1.659626
189,Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,28.033886,1.659626
190,Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78,28.033886,1.659626
191,Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,28.033886,1.659626
192,Algeria,Wheat,2009,15975,89.0,3867.99,17.78,28.033886,1.659626
193,Algeria,Maize,2010,25827,89.0,1295.88,17.59,28.033886,1.659626
194,Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,28.033886,1.659626
195,Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59,28.033886,1.659626
196,Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,28.033886,1.659626
197,Algeria,Wheat,2010,14838,89.0,1295.88,17.59,28.033886,1.659626
198,Algeria,Maize,2011,23374,89.0,13861.76,17.79,28.033886,1.659626
199,Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,28.033886,1.659626
200,Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79,28.033886,1.659626
201,Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,28.033886,1.659626
202,Algeria,Wheat,2011,17405,89.0,13861.76,17.79,28.033886,1.659626
203,Algeria,Maize,2012,25583,89.0,17379.76,17.91,28.033886,1.659626
204,Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,28.033886,1.659626
205,Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91,28.033886,1.659626
206,Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,28.033886,1.659626
207,Algeria,Wheat,2012,17639,89.0,17379.76,17.91,28.033886,1.659626
208,Algeria,Maize,2013,33649,89.0,17278.65,17.65,28.033886,1.659626
209,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,28.033886,1.659626
210,Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65,28.033886,1.659626
211,Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,28.033886,1.659626
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65,28.033886,1.659626
213,Angola,Cassava,1990,41177,1010.0,64.0,24.12,-11.202692,17.873887
214,Angola,Maize,1990,2736,1010.0,64.0,24.12,-11.202692,17.873887
215,Angola,Potatoes,1990,40000,1010.0,64.0,24.12,-11.202692,17.873887
216,Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12,-11.202692,17.873887
217,Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12,-11.202692,17.873887
218,Angola,Wheat,1990,7995,1010.0,64.0,24.12,-11.202692,17.873887
219,Angola,Cassava,1991,40295,1010.0,79.0,24.02,-11.202692,17.873887
220,Angola,Maize,1991,4013,1010.0,79.0,24.02,-11.202692,17.873887
221,Angola,Potatoes,1991,40000,1010.0,79.0,24.02,-11.202692,17.873887
222,Angola,"Rice, paddy",1991,10000,1010.0,79.0,24.02,-11.202692,17.873887
223,Angola,Sweet potatoes,1991,83001,1010.0,79.0,24.02,-11.202692,17.873887
224,Angola,Wheat,1991,8000,1010.0,79.0,24.02,-11.202692,17.873887
225,Angola,Cassava,1992,42295,1010.0,23.0,23.96,-11.202692,17.873887
226,Angola,Maize,1992,3778,1010.0,23.0,23.96,-11.202692,17.873887
227,Angola,Potatoes,1992,40000,1010.0,23.0,23.96,-11.202692,17.873887
228,Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96,-11.202692,17.873887
229,Angola,Sweet potatoes,1992,90000,1010.0,23.0,23.96,-11.202692,17.873887
230,Angola,Wheat,1992,8000,1010.0,23.0,23.96,-11.202692,17.873887
231,Angola,Cassava,1993,42295,1010.0,169.0,24.15,-11.202692,17.873887
232,Angola,Maize,1993,2627,1010.0,169.0,24.15,-11.202692,17.873887
233,Angola,Potatoes,1993,70000,1010.0,169.0,24.15,-11.202692,17.873887
234,Angola,"Rice, paddy",1993,8000,1010.0,169.0,24.15,-11.202692,17.873887
235,Angola,Sweet potatoes,1993,88095,1010.0,169.0,24.15,-11.202692,17.873887
236,Angola,Wheat,1993,8876,1010.0,169.0,24.15,-11.202692,17.873887
237,Angola,Cassava,1994,58596,1010.0,25.5,24.04,-11.202692,17.873887
238,Angola,Maize,1994,2463,1010.0,25.5,24.04,-11.202692,17.873887
239,Angola,Potatoes,1994,90000,1010.0,25.5,24.04,-11.202692,17.873887
240,Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04,-11.202692,17.873887
241,Angola,Sweet potatoes,1994,83192,1010.0,25.5,24.04,-11.202692,17.873887
242,Angola,Wheat,1994,10000,1010.0,25.5,24.04,-11.202692,17.873887
243,Angola,Cassava,1995,51000,1010.0,336.0,24.56,-11.202692,17.873887
244,Angola,Maize,1995,3517,1010.0,336.0,24.56,-11.202692,17.873887
245,Angola,Potatoes,1995,76738,1010.0,336.0,24.56,-11.202692,17.873887
246,Angola,"Rice, paddy",1995,14615,1010.0,336.0,24.56,-11.202692,17.873887
247,Angola,Sweet potatoes,1995,81138,1010.0,336.0,24.56,-11.202692,17.873887
248,Angola,Wheat,1995,11855,1010.0,336.0,24.56,-11.202692,17.873887
249,Angola,Cassava,1996,48077,1010.0,40.0,24.11,-11.202692,17.873887
250,Angola,Maize,1996,6993,1010.0,40.0,24.11,-11.202692,17.873887
251,Angola,Potatoes,1996,70000,1010.0,40.0,24.11,-11.202692,17.873887
252,Angola,"Rice, paddy",1996,17500,1010.0,40.0,24.11,-11.202692,17.873887
253,Angola,Sweet potatoes,1996,85455,1010.0,40.0,24.11,-11.202692,17.873887
254,Angola,Wheat,1996,13738,1010.0,40.0,24.11,-11.202692,17.873887
255,Angola,Cassava,1997,44205,1010.0,40.0,24.06,-11.202692,17.873887
256,Angola,Maize,1997,5959,1010.0,40.0,24.06,-11.202692,17.873887
257,Angola,Potatoes,1997,68571,1010.0,40.0,24.06,-11.202692,17.873887
258,Angola,"Rice, paddy",1997,20000,1010.0,40.0,24.06,-11.202692,17.873887
259,Angola,Sweet potatoes,1997,78098,1010.0,40.0,24.06,-11.202692,17.873887
260,Angola,Wheat,1997,15509,1010.0,40.0,24.06,-11.202692,17.873887
261,Angola,Cassava,1998,55728,1010.0,40.0,24.96,-11.202692,17.873887
262,Angola,Maize,1998,7396,1010.0,40.0,24.96,-11.202692,17.873887
263,Angola,Potatoes,1998,62724,1010.0,40.0,24.96,-11.202692,17.873887
264,Angola,"Rice, paddy",1998,20000,1010.0,40.0,24.96,-11.202692,17.873887
265,Angola,Sweet potatoes,1998,76256,1010.0,40.0,24.96,-11.202692,17.873887
266,Angola,Wheat,1998,17143,1010.0,40.0,24.96,-11.202692,17.873887
267,Angola,Cassava,1999,59821,1010.0,40.0,24.37,-11.202692,17.873887
268,Angola,Maize,1999,6361,1010.0,40.0,24.37,-11.202692,17.873887
269,Angola,Potatoes,1999,54597,1010.0,40.0,24.37,-11.202692,17.873887
270,Angola,"Rice, paddy",1999,14235,1010.0,40.0,24.37,-11.202692,17.873887
271,Angola,Sweet potatoes,1999,82865,1010.0,40.0,24.37,-11.202692,17.873887
272,Angola,Wheat,1999,17391,1010.0,40.0,24.37,-11.202692,17.873887
273,Angola,Cassava,2000,82992,1010.0,40.0,24.41,-11.202692,17.873887
274,Angola,Maize,2000,5745,1010.0,40.0,24.41,-11.202692,17.873887
275,Angola,Potatoes,2000,29885,1010.0,40.0,24.41,-11.202692,17.873887
276,Angola,"Rice, paddy",2000,13454,1010.0,40.0,24.41,-11.202692,17.873887
277,Angola,Sorghum,2000,3333,1010.0,40.0,24.41,-11.202692,17.873887
278,Angola,Soybeans,2000,2333,1010.0,40.0,24.41,-11.202692,17.873887
279,Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41,-11.202692,17.873887
280,Angola,Wheat,2000,17023,1010.0,40.0,24.41,-11.202692,17.873887
281,Angola,Cassava,2001,94072,1010.0,40.0,24.43,-11.202692,17.873887
282,Angola,Maize,2001,5754,1010.0,40.0,24.43,-11.202692,17.873887
283,Angola,Potatoes,2001,42552,1010.0,40.0,24.43,-11.202692,17.873887
284,Angola,"Rice, paddy",2001,13701,1010.0,40.0,24.43,-11.202692,17.873887
285,Angola,Sorghum,2001,3571,1010.0,40.0,24.43,-11.202692,17.873887
286,Angola,Soybeans,2001,2500,1010.0,40.0,24.43,-11.202692,17.873887
287,Angola,Sweet potatoes,2001,44458,1010.0,40.0,24.43,-11.202692,17.873887
288,Angola,Wheat,2001,16667,1010.0,40.0,24.43,-11.202692,17.873887
289,Angola,Cassava,2002,110071,1010.0,40.0,24.79,-11.202692,17.873887
290,Angola,Maize,2002,6706,1010.0,40.0,24.79,-11.202692,17.873887
291,Angola,Potatoes,2002,42754,1010.0,40.0,24.79,-11.202692,17.873887
292,Angola,"Rice, paddy",2002,13198,1010.0,40.0,24.79,-11.202692,17.873887
293,Angola,Sorghum,2002,3400,1010.0,40.0,24.79,-11.202692,17.873887
294,Angola,Soybeans,2002,2857,1010.0,40.0,24.79,-11.202692,17.873887
295,Angola,Sweet potatoes,2002,42190,1010.0,40.0,24.79,-11.202692,17.873887
296,Angola,Wheat,2002,15455,1010.0,40.0,24.79,-11.202692,17.873887
297,Angola,Cassava,2004,125605,1010.0,40.0,24.22,-11.202692,17.873887
298,Angola,Maize,2004,5404,1010.0,40.0,24.22,-11.202692,17.873887
299,Angola,Potatoes,2004,20150,1010.0,40.0,24.22,-11.202692,17.873887
300,Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22,-11.202692,17.873887
301,Angola,Sorghum,2004,3333,1010.0,40.0,24.22,-11.202692,17.873887
302,Angola,Soybeans,2004,3600,1010.0,40.0,24.22,-11.202692,17.873887
303,Angola,Sweet potatoes,2004,45360,1010.0,40.0,24.22,-11.202692,17.873887
304,Angola,Wheat,2004,12442,1010.0,40.0,24.22,-11.202692,17.873887
305,Angola,Cassava,2005,117628,1010.0,40.0,24.41,-11.202692,17.873887
306,Angola,Maize,2005,6736,1010.0,40.0,24.41,-11.202692,17.873887
307,Angola,Potatoes,2005,23646,1010.0,40.0,24.41,-11.202692,17.873887
308,Angola,"Rice, paddy",2005,6977,1010.0,40.0,24.41,-11.202692,17.873887
309,Angola,Sorghum,2005,3333,1010.0,40.0,24.41,-11.202692,17.873887
310,Angola,Soybeans,2005,3793,1010.0,40.0,24.41,-11.202692,17.873887
311,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41,-11.202692,17.873887
312,Angola,Wheat,2005,10946,1010.0,40.0,24.41,-11.202692,17.873887
313,Angola,Cassava,2006,117201,1010.0,40.0,24.14,-11.202692,17.873887
314,Angola,Maize,2006,4687,1010.0,40.0,24.14,-11.202692,17.873887
315,Angola,Potatoes,2006,52148,1010.0,40.0,24.14,-11.202692,17.873887
316,Angola,"Rice, paddy",2006,4947,1010.0,40.0,24.14,-11.202692,17.873887
317,Angola,Sorghum,2006,4091,1010.0,40.0,24.14,-11.202692,17.873887
318,Angola,Soybeans,2006,4286,1010.0,40.0,24.14,-11.202692,17.873887
319,Angola,Sweet potatoes,2006,44240,1010.0,40.0,24.14,-11.202692,17.873887
320,Angola,Wheat,2006,10000,1010.0,40.0,24.14,-11.202692,17.873887
321,Angola,Cassava,2007,115387,1010.0,40.0,24.24,-11.202692,17.873887
322,Angola,Maize,2007,5091,1010.0,40.0,24.24,-11.202692,17.873887
323,Angola,Potatoes,2007,62138,1010.0,40.0,24.24,-11.202692,17.873887
324,Angola,"Rice, paddy",2007,5143,1010.0,40.0,24.24,-11.202692,17.873887
325,Angola,Sorghum,2007,4031,1010.0,40.0,24.24,-11.202692,17.873887
326,Angola,Soybeans,2007,6883,1010.0,40.0,24.24,-11.202692,17.873887
327,Angola,Sweet potatoes,2007,58855,1010.0,40.0,24.24,-11.202692,17.873887
328,Angola,Wheat,2007,10000,1010.0,40.0,24.24,-11.202692,17.873887
329,Angola,Cassava,2008,148084,1010.0,40.0,24.27,-11.202692,17.873887
330,Angola,Maize,2008,7946,1010.0,40.0,24.27,-11.202692,17.873887
331,Angola,Potatoes,2008,85085,1010.0,40.0,24.27,-11.202692,17.873887
332,Angola,"Rice, paddy",2008,5084,1010.0,40.0,24.27,-11.202692,17.873887
